comment;kelas
terimakasih grab untuk promo yg nyantol di inbox aku sungguh haru bkin pgn isi ovo terus grabfood tiap hari;positive
kenapa layan grabcar sekarang gak nyaman sama sekali ya;negative
daftar grab bike area bandung sudah tutup kah;netral
gw pake grab layan selalu muas cepat waktu dan tanggap terimakasih grab;positive
grab aplikasi eror nih ovonya ilanggg;negative
maaf mau tanya skrg grabfood pengamtaran nya apakah bs ya di alamat beda;netral
mantap grab lagi banyak promo bulan ini terimakasih bnyk ngab min untuk promo;positive
min kenapa helm helm grab bike suka pada bau jadi ga nyaman;negative
min kode promo grab food ovo apa;netral
terimakasih min sering adain promo ya kami para customer senang kalo grab sering kasih promo pas akhir bulan gini;positive
gmna driver sameday yg hilang barang mangga dua masa iya tanggungjawab driver masa iya grab tidak punya tanggungjawab;negative
mau tanya pagi ini grab sameday gak muncul ya di kirim ada yang tau;netral
grab sukses selalu selalu ada di saat di butuh;positive
min saya isi saldo ovo via m banking nomor sudah sesuai tapi saldo ovo gak isi tolong tindak lanjut;negative
kalo pesen grabfood biaya parkir itu di tanggung sama driver atau mesen sih min kadang ko ada driver yg minta di bayarin biaya parkir kadang ngga minta di bayarin;netral
terima kasih grab skrg ban ban udh ada di grabfood senang sekaliiiii;positive
kenapa kalo driver grabfood di jakarta terima order tp ga muncul padahal sdh selesai order dan saldo ovo nya sudah potong udah jadi dua kali dalam bulan ini ovo saya potong tp drivernya ga dtg anter makan;negative
daftar driver bike lewat online bisa gak ya;netral
terima kasih grab akhir dapet saldo ovo jutaaa;positive
tarif naik promo cepet hbis msih jam sore voucher uda hbis sungguh uras kantong mahasiswa;negative
kalo mau beli jaket model baru gimana min;netral
terimakasihh layan grab express sangat bantu saya dalam pengiriman barang dagang saya kecustomer saya;positive
ini kenapa udh hari g ada promo g ada potongn sama sekali;negative
min ini saya naik grabbike pake reward ptng rb biaya jalan rb harus rb kok ada biaya lain ya biaya lain ini apa;netral
terimakasih berkat grab saya bisa lebih ngirit bulan ini karena promo dari kalian hehe;positive
grab expres grabfood tidal bisa top up ovo kesel;negative
min kirim gitar pake grab express bisa ngga ya;netral
terimakasih grabfood makan siang saya hari ini lumayan enak berkat vocher grabfood dari kalian;positive
niat bikin promo gak min grabfood pk ovo kode kgk bisa digunain semua ket bayar pk metode ini tolak;negative
knp sih promo grabfood gabisa d pke pdahal batas nya sampe jm mlm sering loh ak jarang dpt promo;netral
luar biasa grab terimakasih untuk promo promonya moga berkah dan makin sukses;positive
lagi jalan negor driver grab karna spion motor bikin silau ke belakang eh malah dikatain belagu padahal negornya udah baik baik;negative
tarif grab naik ya;netral
wow sangat suka semua fitur nya grab mulai dari promo yg super banyak terimakasih grab sukses terus;positive
naik harga nya kok drastis banget ya saya biasa ke sekolah k sekarang malah jadi k;negative
grab lgi knpa dah;netral
salam satu aspal mitra driver khusus nya perempuan dont give up guys meski berat tantang jalan yang penting niat ibadah dalam kerja salut perempuan;positive
saldoo ovo point aku ilang gatau buat pembayaraan apa;negative
bisa gk pesan makan nya engga ada di aplikasi grab food nya;netral
pokok puas dg grab ramah bgt bnyak promo trutama bt ank sya bsa tau smp apa blom pkoknya aman deh mksh bnyak grab;positive
gimana mau pada naik grab kalau harga naik drastis banget;negative
daftar grabike jabodetabek kpn buka lagi ya;netral
barusan aja dapet driver grab perempuan dan bagai lelaki saya nawarin buat ngendarain motor enak driver perempuan tu ngobrolnya ga renti jadi ga bosen jalan semngat cari rezeki bu;positive
grab jahad promonya jadi cashback ke ovo point bukan diskon lgi;negative
normalin harga lagi dooooong;netral
tambah pilih ladydriver di aplikasi nya jd untuk para wanita muslimah yg ga mau di antar dgn laki bisa pilih driver wanita;positive
kenapa sih ongkos itu ke tempat yg sama hari ini k besok uda beda aaja ikhhhh;negative
ada yg tau grabfood promo untuk hari ini;netral
semangat cari rejeki babang grab semangat dan santuy;positive
udh top up ke abang grabnya trus ga masuk ke ovonya ini gmn;negative
miiiin grab wheels di jakrata diamna aja yaa yang udah adaaa mau nyobaiiiin;netral
terima kasih grabb kamu nemudahkan kuhh;positive
tolong aplikasi lot banget gileeee saya bagai guna grab tiap hari ganggu banget;negative
kapan saya dapat jaket baru;netral
terima kasih grab moga maju terus dan makin bantu dalam layan masyarakat;positive
grab car kenapa ga ada promo sih;negative
min daftar grab bike di kota medan sudah buka;netral
terima kasih grab selalu mampu mudah jalan dalam selesai urus urus;positive
halo kok saldo ovo saya hilang ya padahal masih ada sisa;negative
tolong tambah fitur tip di grabfood;netral
terimakasih grab layan grabfood sangat membantu di saat saya lapar;positive
min ngapain ngasih voucher promo kalo dipakepun gak bs malah tulis tidak valid atau udh habis pakai padahal pakai sekalipun aja bom;negative
min sekarang grabfood ga bisa liat peta cara live ya;netral
mantapp tolong promo bnyk lgi kami para kaum hemat alias anak kost sngt buth promo tiap akhir bulan;positive
kenapa skrg pilih rute grab ngaco ya yg biasa harus cuma km dan ongkos rb blm promo skrg jadi rb blm promo karena pilih rute beda dr biasa rute yg pilih sangat jauh dan muter tolong baik sistem harga naik tapi sistem malah jadi ga becus;negative
min mau tanya ovo saya kok tidak hubung ke grab ya padahal no hp sama cuman email nya nya beda apa itu faktor nya ya;netral
bangga jadi mitra grab;positive
tolong app nya jgn eror trs sy klo pagi susah bgt krn grab eror yaallah;negative
ko gabisa topup pake bca lg error apa gimana;netral
thanks ya grab karena kamu prjalanan saya kantor jdi semakin cpt dan gk bikin terlambat;positive
kenapa tiba tiba tarif harga jadi naik ya terus kode promo suka gabisa dipake;negative
sekarang grabwheels udah gak ada lagi ya di daerah jaksel;netral
makin keren euy grab bangga jadi mitra;positive
grab aplikasi eror nih ovonya ilanggg;negative
min kalo daftar grab tapi ktp nya masih di belum jadi apakah bisa pakai resi ktp;netral
makasih promo grabfood ngab sukses terus buat grab;positive
kenapa si tiap mau top up ovo slalu ga bisa suruh ke driver slanjutnya;negative
kok di sby gk ad promo grab bike ya min;netral
mantap grab promonya luar biasa bulan ini terimakasih grab sya makin cinta;positive
tarif naik mulu promo di jam jamin gilir dipake sesuai jam eh kaga bisa;negative
moga bisa lebih baik lagi depan dan tidak sembarang untuk kerja driver baru harus lalu tahap nyaring yang serius demi indonesia maju;netral
mantap grab makin gacor cor sukses terus grab;positive
baru aja topup ovo terus mo pesen makan udah pilih makan mo checkout blm klik apa saldo potong kenapaa;negative
tambah fitur grabtruck dongg;netral
pahlawanq bangett ini apalagi driver grabfood yg telh mengantar san makan sya saat saya lapar gini;positive
